Team,Goalie,SV,GA,Minutes,Game_ID,Total_Minutes,TimeDelta,Home_Team,Away_Team
Massachusetts,Matt Murray,37,3,59:27,2022-01-08-Massachusetts-Michigan,59.45,0 days 00:59:27,Michigan,Massachusetts
Michigan,Erik Portillo,28,1,60:00,2022-01-08-Massachusetts-Michigan,60.0,0 days 01:00:00,Michigan,Massachusetts
Colgate,EMPTY NET,0,1,1:22,2022-01-08-Colgate-Northern Michigan,1.3666666666666667,0 days 00:01:22,Northern Michigan,Colgate
Colgate,Carter Gylander,28,5,58:38,2022-01-08-Colgate-Northern Michigan,58.63333333333333,0 days 00:58:38,Northern Michigan,Colgate
Northern Michigan,EMPTY NET,0,0,0:43,2022-01-08-Colgate-Northern Michigan,0.7166666666666667,0 days 00:00:43,Northern Michigan,Colgate
Northern Michigan,Rico DiMatteo,34,3,59:17,2022-01-08-Colgate-Northern Michigan,59.28333333333333,0 days 00:59:17,Northern Michigan,Colgate
Arizona State,EMPTY NET,0,1,2:08,2022-01-08-Arizona State-Boston University,2.1333333333333333,0 days 00:02:08,Boston University,Arizona State
Arizona State,Ben Kraws,33,4,57:52,2022-01-08-Arizona State-Boston University,57.86666666666667,0 days 00:57:52,Boston University,Arizona State
Boston University,Drew Commesso,36,2,60:00,2022-01-08-Arizona State-Boston University,60.0,0 days 01:00:00,Boston University,Arizona State
Alaska,EMPTY NET,0,1,0:55,2022-01-08-Alaska-Maine,0.9166666666666666,0 days 00:00:55,Maine,Alaska
Alaska,Gustavs Davis Grigals,40,3,59:05,2022-01-08-Alaska-Maine,59.083333333333336,0 days 00:59:05,Maine,Alaska
Maine,Connor Androlewicz,27,2,59:58,2022-01-08-Alaska-Maine,59.96666666666667,0 days 00:59:58,Maine,Alaska
Cornell,Ian Shane,32,1,60:00,2022-01-08-Cornell-North Dakota,60.0,0 days 01:00:00,North Dakota,Cornell
North Dakota,EMPTY NET,0,0,3:33,2022-01-08-Cornell-North Dakota,3.55,0 days 00:03:33,North Dakota,Cornell
North Dakota,Jakob Hellsten,17,3,56:27,2022-01-08-Cornell-North Dakota,56.45,0 days 00:56:27,North Dakota,Cornell
Clarkson,EMPTY NET,0,1,0:54,2022-01-08-Clarkson-New Hampshire,0.9,0 days 00:00:54,New Hampshire,Clarkson
Clarkson,Ethan Haider,25,4,59:06,2022-01-08-Clarkson-New Hampshire,59.1,0 days 00:59:06,New Hampshire,Clarkson
New Hampshire,Mike Robinson,18,1,59:24,2022-01-08-Clarkson-New Hampshire,59.4,0 days 00:59:24,New Hampshire,Clarkson
New Hampshire,Jake Moniz,2,0,0:36,2022-01-08-Clarkson-New Hampshire,0.6,0 days 00:00:36,New Hampshire,Clarkson
Notre Dame,EMPTY NET,0,0,0:25,2022-01-08-Notre Dame-Penn State,0.4166666666666667,0 days 00:00:25,Penn State,Notre Dame
Notre Dame,Matthew Galajda,35,4,64:35,2022-01-08-Notre Dame-Penn State,64.58333333333333,0 days 01:04:35,Penn State,Notre Dame
Penn State,Oskar Autio,34,5,65:00,2022-01-08-Notre Dame-Penn State,65.0,0 days 01:05:00,Penn State,Notre Dame
Minnesota,EMPTY NET,0,0,0:29,2022-01-08-Minnesota-Michigan State,0.48333333333333334,0 days 00:00:29,Michigan State,Minnesota
Minnesota,Jack LaFontaine,21,3,59:31,2022-01-08-Minnesota-Michigan State,59.516666666666666,0 days 00:59:31,Michigan State,Minnesota
Michigan State,Pierce Charleson,54,6,60:00,2022-01-08-Minnesota-Michigan State,60.0,0 days 01:00:00,Michigan State,Minnesota
Ohio State,EMPTY NET,0,0,0:24,2022-01-08-Ohio State-Wisconsin,0.4,0 days 00:00:24,Wisconsin,Ohio State
Ohio State,Jakub Dobes,33,3,59:36,2022-01-08-Ohio State-Wisconsin,59.6,0 days 00:59:36,Wisconsin,Ohio State
Wisconsin,EMPTY NET,0,1,1:27,2022-01-08-Ohio State-Wisconsin,1.45,0 days 00:01:27,Wisconsin,Ohio State
Wisconsin,Jared Moe,28,4,58:33,2022-01-08-Ohio State-Wisconsin,58.55,0 days 00:58:33,Wisconsin,Ohio State
