Color,Hex_Code,Team,color_level
Wildcat Blue,#0033a0;,Kentucky Wildcats,1
White,#FFFFFF;,Kentucky Wildcats,2
Black,#000000;,Kentucky Wildcats,3
Gold,#a8996e;,Lafayette Leopards,1
Maroon,#98002e;,Lafayette Leopards,2
White,#ffffff;,Lafayette Leopards,3
Black,#000000;,Lafayette Leopards,4
Red,#dc0032;,Lamar Cardinals,1
White,#ffffff;,Lamar Cardinals,2
Gold,#fcb034;,Lamar Cardinals,3
GOLD ,#ffcc00;,La Salle Explorers,1
BLUE ,#003366;,La Salle Explorers,2
WHITE,#FFFFFF;,La Salle Explorers,3
Dark Brown,#653600;,Lehigh Mountain Hawks,1
Gold,#ffd24f;,Lehigh Mountain Hawks,2
Red,#e51937;,Lehigh Mountain Hawks,3
Brown,#994708;,Lehigh Mountain Hawks,4
Light Gold,#cfab7a;,Lehigh Mountain Hawks,5
Green,#00703c;,Lehigh Mountain Hawks,6
White,#FFFFFF;,Lehigh Mountain Hawks,7
Blue,#002d62;,Liberty Flames,1
Red,#c41230;,Liberty Flames,2
White,#ffffff;,Liberty Flames,3
Grey,#c6c8ca;,Liberty Flames,4
PURPLE ,#331E54;,Lipscomb Bisons,1
GOLD ,#F4AA00;,Lipscomb Bisons,2
BLACK,#000000;,Lipscomb Bisons,3
Blue,#15213B;,Longwood Lancers,1
Grey,#999D9E;,Longwood Lancers,2
White,#ffffff;,Longwood Lancers,3
GO BEACH GOLD ,#ffc72a;,Long Beach State 49ers,1
CHAMPIONSHIP BLACK ,#000000;,Long Beach State 49ers,2
Blue,#69B3E7;,Long Island Sharks,1
Gold,#FFC72C;,Long Island Sharks,2
White,#ffffff;,Long Island Sharks,3
MAROON ,#800029;,Louisiana-Monroe Warhawks,1
GOLD ,#BD955A;,Louisiana-Monroe Warhawks,2
Dark Grey ,#646469;,Louisiana-Monroe Warhawks,3
Light Grey ,#dad86d9;,Louisiana-Monroe Warhawks,4
Red ,#ce181e;,Louisiana Ragin’ Cajuns,1
Black ,#0a0203;,Louisiana Ragin’ Cajuns,2
Gray ,#c1c5c9;,Louisiana Ragin’ Cajuns,3
Orange ,#f18c21;,Louisiana Ragin’ Cajuns,4
Purple,#461D7C;,Louisiana State Tigers,1
Gold,#FDD023;,Louisiana State Tigers,2
Blue ,NA,Louisiana Tech Bulldogs,1
Red ,NA,Louisiana Tech Bulldogs,2
Gray ,NA,Louisiana Tech Bulldogs,3
Black ,#000000;,Louisiana Tech Bulldogs,4
Red,#AD0000;,Louisville Cardinals,1
Black,#000000;,Louisville Cardinals,2
Yellow,#FDB913;,Louisville Cardinals,3
LMU Red ,#b62b3a;,Loyola Marymount Lions,1
LMU Blue ,#00447c;,Loyola Marymount Lions,2
LMU Gray ,#617080;,Loyola Marymount Lions,3
LMU Black ,#231f20;,Loyola Marymount Lions,4
Green,#00694e;,Loyola (MD) Greyhounds,1
Grey,#cacac8;,Loyola (MD) Greyhounds,2
Black,#000000;,Loyola (MD) Greyhounds,3
Navy Blue ,#003263;,Maine Black Bears,1
Light Blue ,#B0D7FF;,Maine Black Bears,2
RED ,#AB0634;,Maine Black Bears,3
GRAY ,#908C89;,Maine Black Bears,4
BLACK,#000000;,Maine Black Bears,5
WHITE,#FFFFFF;,Maine Black Bears,6
GREEN ,#00703C;,Manhattan,1
WHITE,#FFFFFF;,Manhattan,2
MARIST RED ,#C8102E;,Marist Red Foxes,1
LIGHT GREY,#b2b2b2;,Marist Red Foxes,2
BLACK,#000000;,Marist Red Foxes,3
WHITE,#FFFFFF;,Marist Red Foxes,4
GREEN ,#00B140;,Marshall Thundering Herd,1
GRAY ,#A2AAAD;,Marshall Thundering Herd,2
BROWN ,#693F23;,Marshall Thundering Herd,3
LIGHT BROWN ,#AD7C59;,Marshall Thundering Herd,4
BLACK ,#27251F;,Marshall Thundering Herd,5
Marquette Blue ,#003366;,Marquette Golden Eagles,1
Marquette Gold ,#ffcc00;,Marquette Golden Eagles,2
Red,#862633;,Maryland E.S. Hawks,1
Gray,#888B8D;,Maryland E.S. Hawks,2
Black,#000000;,Maryland E.S. Hawks,3
Red,#E03a3e;,Maryland Terrapins,1
Gold,#ffd520;,Maryland Terrapins,2
White,#FFFFFF;,Maryland Terrapins,3
Black,#000000;,Maryland Terrapins,4
Royal Blue,#00529b;,McNeese Cowboys,1
Sunflower Gold,#ffd204;,McNeese Cowboys,2
UNIVERSITY BLUE ,#003087;,Memphis Tigers,1
UNIVERSITY GRAY ,#898D8D;,Memphis Tigers,2
Mercer Orange,#f76800;,Mercer Bears,1
Black,#000000;,Mercer Bears,2
Blue,#003768;,Merrimack Warriors,1
Gold,#fdb813;,Merrimack Warriors,2
Orange,#F47321;,Miami (FL) Hurricanes,1
Green,#005030;,Miami (FL) Hurricanes,2
White,#FFFFFF;,Miami (FL) Hurricanes,3
RED ,#b61e2e;,Miami (OH) Redhawks,1
BLACK,#000000;,Miami (OH) Redhawks,2
WHITE,#FFFFFF;,Miami (OH) Redhawks,3
Blue ,#00274c;,Michigan Wolverines,1
Maize ,#ffcb05;,Michigan Wolverines,2
Green,#18453B;,Michigan State Spartans,1
White,#FFFFFF;,Michigan State Spartans,2
Black ,#000000;,Middle Tennessee Blue Raiders,1
MTSU Blue ,NA,Middle Tennessee Blue Raiders,2
Light Blue ,NA,Middle Tennessee Blue Raiders,3
UWM GOLD ,#FFBD00;,Milwaukee Panthers,1
UWM SILVER GRAY ,#CCCCCC;,Milwaukee Panthers,2
UWM BLACK,NA,Milwaukee Panthers,3
Gopher Maroon,#7A0019;,Minnesota Golden Gophers,1
Gopher Gold,#FFCC33;,Minnesota Golden Gophers,2
Green,#00703c;,Mississippi Delta Devils,1
Red,#e51937;,Mississippi Delta Devils,2
Black,#000000;,Mississippi Delta Devils,3
MISSOURI STATE MAROON ,#5E0009;,Missouri State Bears,1
WHITE,#FFFFFF;,Missouri State Bears,2
BLACK,#000000;,Missouri State Bears,3
Maroon,#660000;,Mississippi State Bulldogs,1
