Season_Year,Team,Conference
1929,Michigan State,None
1929,Michigan Tech,None
1929,Minnesota,None
1929,N. Dakota Aggies,None
1929,New Hampshire,None
1929,North Dakota,None
1929,Northeastern,None
1929,Ontario Ag.,None
1929,Pennsylvania,None
1929,Princeton,None
1929,RPI,None
1929,Royal Military,None
1929,St. Lawrence,None
1929,St. Nick's,None
1929,St. Stephen's,None
1929,Toronto,None
1929,Tulsa A.C.,None
1929,UC Boston,None
1929,Union,None
1929,University Club,None
1929,Wesleyan,None
1929,Western Ontario,None
1929,Williams,None
1929,Wisconsin,None
1929,Yale,None
1930,55,None
1930,Army,None
1930,Bates,None
1930,Boston HC,None
1930,Boston University,None
1930,Brae Burn,None
1930,Brown,None
1930,Chatham A.C.,None
1930,Clarkson,None
1930,Colby,None
1930,Colgate,None
1930,Cook and Sons,None
1930,Cornell,None
1930,Dartmouth,None
1930,Harvard,None
1930,Hibbing Veterans,None
1930,MIT,None
1930,Manitoba,None
1930,Marquette,None
1930,Mass. Agricultural,None
1930,McGill,None
1930,Michigan,None
1930,Michigan Tech,None
1930,Middlebury,None
1930,Minnesota,None
1930,New Hampshire,None
1930,New Haven Eagles,None
1930,Northeastern,None
1930,Ontario Ag.,None
1930,Paris A.C.,None
1930,Princeton,None
1930,Queen's,None
1930,RPI,None
1930,Royal Military,None
1930,St. Mary's,None
1930,St. Nick's,None
1930,St. Stephen's,None
1930,Toronto,None
1930,UC Boston,None
1930,Union,None
1930,Union Boat Club,None
1930,University Club,None
1930,Western Ontario,None
1930,Williams,None
1930,Wisconsin,None
1930,Yale,None
1931,55,None
1931,Army,None
1931,Bates,None
1931,Boston HC,None
1931,Boston University,None
1931,Brown,None
1931,Calumet,None
1931,Chatham A.C.,None
1931,Clarkson,None
1931,Colgate,None
1931,Conn. Agr. Colle,None
1931,Crescent AC,None
1931,Dartmouth,None
1931,East All-Stars,None
1931,Eveleth JC,None
1931,Haley A.C.,None
1931,Hancock,None
1931,Harvard,None
1931,Houghton Stars,None
1931,MIT,None
1931,Marquette,None
1931,Massachusetts State,None
1931,McGill,None
1931,Melrose HC,None
1931,Michigan,None
1931,Michigan Tech,None
1931,Minnesota,None
1931,New Hampshire,None
1931,New Haven Eagles,None
1931,Northeastern,None
1931,Ontario Ag.,None
1931,Polish Olympics,None
1931,Princeton,None
1931,Queen's,None
1931,Royal Military,None
1931,St. Mary's,None
1931,St. Nick's,None
1931,St. Stephen's,None
1931,Toronto,None
1931,Wesleyan,None
1931,Western Ontario,None
1931,White Star H.C.,None
1931,Williams,None
1931,Wisconsin,None
1931,Yale,None
1932,Army,None
1932,B.C. Alumni,None
1932,Bates,None
1932,Boston College,None
1932,Boston HC,None
1932,Boston Olympics,None
1932,Boston University,None
1932,Brown,None
1932,Chatham A.C.,None
1932,Clarkson,None
1932,Dartmouth,None
1932,Dearborn A.C.,None
1932,Hamilton,None
1932,Harvard,None
1932,MIT,None
1932,Marquette,None
1932,Massachusetts State,None
1932,McGill,None
1932,Michigan,None
1932,Michigan Tech,None
1932,Middlebury,None
1932,Minnesota,None
1932,New Hampshire,None
1932,North Dakota,None
1932,Northeastern,None
1932,Ontario Ag.,None
1932,Princeton,None
1932,Royal Military,None
1932,St. Mary's,None
1932,St. Nick's,None
1932,Toronto,None
1932,Union,None
1932,Western Ontario,None
1932,White Star H.C.,None
1932,Williams,None
1932,Wisconsin,None
1932,Yale,None
1933,Amherstburg,None
1933,Army,None
1933,Berry H.C.,None
1933,Boston College,None
1933,Boston Olympics,None
1933,Boston University,None
1933,Brown,None
1933,Chippewa Falls,None
1933,Clarkson,None
1933,Colby,None
1933,Colgate,None
1933,Cornell,None
1933,Dartmouth,Ivy League
1933,Dearborn A.C.,None
1933,Hamilton,None
1933,Harvard,Ivy League
1933,Kitchener,None
1933,London H.C.,None
1933,MIT,None
1933,Manitoba,None
1933,Mass. State Coll,None
1933,Massachusetts State,None
1933,McGill,None
1933,Michigan,None
1933,Michigan Tech,None
1933,Middlebury,None
1933,Minnesota,None
1933,New Hampshire,None
1933,New Haven Eagles,None
